utc,true_lat,true_lon,num_sights,sights
2013-01-13T05:10:59Z,64.15,-21.95,6,Procyon:19.8034:238.4783|Eltanin:40.8709:54.0452|Alphecca:34.5832:99.9408|Denebola:39.9736:168.8701|Arcturus:35.7208:124.012|Schedar:31.9012:346.1523
2050-12-28T14:39:34Z,1.35,103.82,6,Canopus:28.3779:156.555|Aldebaran:72.4787:28.9724|Sirius:45.7876:116.0181|Schedar:21.755:333.125|Hamal:54.5206:311.2796|Capella:42.2574:17.926
2030-07-09T08:25:54Z,64.15,-21.95,6,Saturn:40.4501:140.1215|Sun:25.7215:91.5607|Betelgeuse:20.4462:116.9893|Enif:19.5797:251.9005|Dubhe:40.2432:26.379|Mars:32.8181:102.7082
2024-12-07T03:41:36Z,0.0,0.0,6,Alnilam:42.5534:268.3912|Spica:19.7791:102.0077|Pollux:58.5135:333.8724|Mars:68.3905:353.6554|Procyon:72.587:287.4956|Betelgeuse:46.8089:280.8648
2009-02-21T12:35:56Z,-55.9,-67.2,6,Sun:24.3049:71.7072|Rigil Kent:62.4349:237.4832|Shaula:70.0843:336.5385|Menkent:44.9578:268.766|Rasalhague:21.0885:350.0481|Antares:55.1418:316.9122
2013-04-06T07:55:45Z,35.0,-40.0,6,Markab:22.7588:86.8452|Kochab:43.8508:342.8206|Rasalhague:65.8533:204.0068|Polaris:34.5809:0.6479|Alphecca:54.9924:267.4411|Antares:23.7489:205.5322
2039-05-08T15:41:14Z,20.0,179.9,6,Kochab:27.5645:344.5632|Alphecca:46.1674:287.9712|Deneb:55.0499:36.6509|Enif:45.5707:96.081|Zubenelg.:22.2793:241.9635|Schedar:17.0819:35.0008
2036-03-10T00:22:35Z,1.35,103.82,6,Deneb:37.293:28.6656|Alnair:22.1269:142.7995|Kaus Aus.:54.274:181.5467|Sabik:64.1389:227.8044|Sun:16.7677:94.5411|Fomalhaut:19.0424:121.8778
2038-08-24T21:22:44Z,-55.9,-67.2,6,Menkent:68.3123:327.0281|Sabik:43.2741:43.5424|Acrux:69.0654:233.1722|Spica:41.4152:326.5549|Suhail:35.1163:242.3067|Nunki:39.4226:78.8656
2029-09-03T10:30:50Z,-33.87,151.21,6,Acrux:23.7606:208.3856|Peacock:64.9619:160.0269|Ankaa:32.1013:122.1974|Markab:18.2876:56.0823|Atria:48.7296:199.8254|Shaula:67.1726:253.797
2017-10-01T10:53:27Z,-33.87,151.21,6,Ankaa:56.3565:116.8664|Rigil Kent:22.597:210.6193|Acamar:28.1798:121.5286|Kaus Aus.:50.1584:255.1108|Altair:40.1112:324.0584|Markab:36.7396:26.1458
2006-02-23T11:50:31Z,43.77,11.25,6,Fomalhaut:16.6051:177.8399|Schedar:68.1684:44.2272|Enif:53.3939:207.0828|Kochab:34.6334:343.1672|Capella:25.7884:49.9371|Markab:61.2478:171.6592
2011-08-13T22:01:20Z,-33.87,151.21,6,Mars:30.8755:15.0688|Alphard:30.8758:79.1155|Pollux:20.6984:30.9103|Avior:52.4154:146.1106|Miaplacidus:43.5132:157.0697|Betelgeuse:48.4026:8.1051
2047-05-12T08:03:51Z,-33.87,151.21,6,Rigil Kent:34.5771:144.7968|Denebola:31.0528:41.2784|Procyon:43.5505:321.7906|Acrux:49.5302:150.6906|Alnilam:27.1907:288.4825|Rigel:26.8889:278.5619
2007-10-12T14:12:08Z,0.0,0.0,6,Altair:25.6811:80.1263|Alioth:25.3337:336.3988|Alkaid:35.5973:338.7504|Kochab:15.5683:356.8526|Zubenelg.:70.6125:213.4767|Hadar:27.0924:192.3728
2023-05-08T07:56:29Z,0.0,0.0,6,Diphda:58.6745:126.1514|Achernar:24.719:157.5937|Nunki:25.9136:240.5254|Deneb:35.4079:330.8039|Enif:68.9031:298.7767|Markab:74.6054:5.3198
2032-04-27T08:59:33Z,35.0,-40.0,6,Vega:64.8232:288.0031|Alphecca:25.1168:285.997|Kochab:33.9747:340.6266|Alkaid:17.9414:318.0679|Polaris:34.9147:0.7307|Hamal:19.9553:74.5753
2041-05-11T06:22:56Z,-33.87,151.21,6,Suhail:71.0127:127.0283|Acrux:38.3228:147.2786|Canopus:66.2893:211.2492|Alphard:55.3626:49.7613|Gienah:27.6868:93.6099|Gacrux:37.4117:139.7513
2029-11-05T21:58:56Z,1.35,103.82,6,Gienah:22.941:109.8969|Dubhe:20.0383:21.8971|Alphard:64.6664:114.0141|Betelgeuse:59.7252:282.448|Miaplacidus:17.6328:173.0963|Mirfak:15.4148:321.9953
2027-12-24T17:38:51Z,43.77,11.25,6,Enif:40.0652:240.5743|Diphda:28.3611:177.5511|Vega:25.9918:299.9031|Eltanin:27.7519:316.0815|Altair:19.8966:263.2372|Polaris:44.249:0.5366
2050-07-27T17:19:40Z,1.35,103.82,6,Saturn:69.2299:183.1046|Nunki:53.5431:219.1227|Enif:70.6474:62.4259|Alnair:37.6848:159.7524|Ankaa:22.275:137.1645|Rasalhague:44.0549:286.2117
2038-11-03T18:17:17Z,43.77,11.25,6,Vega:53.3115:279.6388|Alioth:16.598:335.3537|Markab:57.776:146.0442|Alpheratz:59.4411:106.8165|Schedar:60.7736:48.7249|Hamal:34.8115:89.4055
2050-04-17T15:35:21Z,43.77,11.25,6,Aldebaran:57.3764:220.3073|Schedar:40.2564:315.0231|Venus:48.8549:246.0938|Elnath:73.3551:207.5244|Sirius:28.6338:168.2104|Jupiter:58.752:126.6492
2012-02-01T18:52:37Z,64.15,-21.95,6,Venus:16.0435:221.1005|Menkar:29.2364:164.9438|Capella:58.7308:102.6968|Moon:43.3338:147.1033|Vega:25.4427:307.5393|Hamal:49.3695:180.8861
