utc,body,dist_deg
2046-07-05T16:51:35Z,Mars,80.7905
2036-04-20T02:01:02Z,Antares,66.67914
2027-04-25T06:32:12Z,Aldebaran,161.78213
2040-09-18T08:53:44Z,Jupiter,134.90609
2025-09-29T08:30:57Z,Sun,82.85997
2012-09-12T16:09:56Z,Spica,76.84024
2040-01-08T14:34:33Z,Regulus,61.86891
2040-04-04T04:23:55Z,Jupiter,105.104
2042-08-24T23:31:05Z,Regulus,103.61965
2031-09-29T10:06:39Z,Aldebaran,82.72306
2047-01-15T23:35:31Z,Aldebaran,95.73519
2008-03-20T05:20:54Z,Aldebaran,91.77026
2036-09-13T13:47:21Z,Mars,91.6553
2039-08-24T17:00:54Z,Antares,39.20343
2043-08-08T21:08:12Z,Jupiter,81.34649
2009-08-09T05:51:43Z,Mars,86.79982
2005-12-18T03:08:56Z,Spica,89.74419
2033-12-19T15:56:24Z,Jupiter,88.98333
2018-09-29T11:07:18Z,Venus,158.27238
2045-11-09T16:24:29Z,Sun,11.03612
2027-04-24T12:30:11Z,Spica,52.33727
2047-04-27T23:59:19Z,Antares,177.54545
2004-04-01T13:38:35Z,Spica,61.38066
2018-01-16T16:14:22Z,Jupiter,62.55618
2004-05-26T14:39:52Z,Aldebaran,78.03895
2005-06-05T19:41:04Z,Mars,67.26393
2016-01-25T04:47:36Z,Venus,133.67468
2025-06-24T06:25:32Z,Venus,29.23173
2019-03-12T01:35:52Z,Antares,160.14077
2047-11-15T18:29:52Z,Antares,42.18942
2002-11-26T05:17:14Z,Regulus,14.88737
2014-11-23T18:36:31Z,Spica,53.57085
2044-07-19T03:10:07Z,Jupiter,97.33697
2045-10-13T18:50:15Z,Sun,43.80242
2042-08-26T03:58:17Z,Mars,68.83417
2021-03-23T07:31:04Z,Antares,137.8364
2021-05-19T07:20:41Z,Venus,70.03355
2044-11-12T09:57:12Z,Antares,107.19514
2002-01-27T17:22:09Z,Jupiter,13.56283
