utc,location,obs_lat,obs_lon,body,alt_deg,az_deg,sha_deg,dec_deg
2001-01-29T05:46:44Z,South Pole,-89.9,0.0,Jupiter,-19.81712,204.01912,300.76558,19.72528
2040-08-22T03:45:48Z,North Pole,89.9,0.0,Alpheratz,29.40373,204.91356,357.37452,29.31303
2042-03-19T13:57:39Z,Singapore,1.35,103.82,Saturn,5.84326,101.07629,145.73458,-10.87495
2003-04-10T16:50:43Z,Tokyo,35.6,139.7,Atria,-15.81939,172.20989,107.74635,-69.03126
2006-03-17T00:13:40Z,Singapore,1.35,103.82,Enif,45.00864,77.31096,33.8832,9.89937
2009-05-31T10:14:07Z,Equator/Prime,0.0,0.0,Sirius,29.73276,109.36015,258.61244,-16.73001
2037-08-29T21:10:57Z,Tokyo,35.6,139.7,Aldebaran,70.16145,198.14714,290.48254,16.58026
2027-04-21T03:47:48Z,Florence,43.77,11.25,Jupiter,-18.0651,316.93274,220.13236,16.68051
2050-04-29T03:21:25Z,Singapore,1.35,103.82,Moon,-30.59605,74.92804,227.59347,12.34702
2016-12-05T13:55:07Z,Cape Horn,-55.9,-67.2,Saturn,44.30019,58.46333,102.62023,-21.62104
2038-01-16T12:20:17Z,Reykjavik,64.15,-21.95,Vega,64.66946,179.2953,80.45336,38.8205
2041-11-07T22:22:44Z,Cape Horn,-55.9,-67.2,Menkar,-3.60619,87.7377,313.87919,4.25358
2010-02-11T03:50:18Z,Mid-Atlantic,35.0,-40.0,Sirius,15.00384,236.52681,258.59429,-16.73276
2037-12-04T09:49:26Z,Tokyo,35.6,139.7,Achernar,-4.87756,167.08398,335.21722,-57.05094
2026-09-03T06:58:55Z,Cape Horn,-55.9,-67.2,Mirfak,-19.06684,20.89924,308.43519,49.95358
2046-02-21T19:09:57Z,Cape Horn,-55.9,-67.2,Acamar,63.3534,67.64366,314.99498,-40.12621
2018-04-15T11:01:09Z,Intl Date Line,20.0,179.9,Menkent,29.43392,158.66478,148.0551,-36.45833
2040-01-03T04:18:30Z,Tokyo,35.6,139.7,Alnair,4.39845,162.5187,27.3265,-46.7708
2002-03-22T08:36:57Z,South Pole,-89.9,0.0,Capella,-46.06693,130.21153,280.79527,46.00231
2020-10-31T19:42:22Z,South Pole,-89.9,0.0,Rigel,8.15514,102.74493,281.11497,-8.17719
2025-01-21T14:45:37Z,Intl Date Line,20.0,179.9,Rasalhague,-6.23377,74.20646,95.97901,12.5392
2041-10-13T05:39:17Z,Tokyo,35.6,139.7,Rigel,-60.28258,334.48194,280.8626,-8.1526
2009-06-06T02:30:07Z,Equator/Prime,0.0,0.0,Enif,54.75722,72.634,33.83317,9.91765
2027-12-15T21:51:09Z,Southern Ocean,-55.0,-120.0,Kochab,-47.07332,337.77973,137.34894,74.03605
2037-02-07T14:18:14Z,Intl Date Line,20.0,179.9,Jupiter,0.97414,293.48427,284.97089,22.34782
2047-06-29T16:51:27Z,Southern Ocean,-55.0,-120.0,Dubhe,-57.16804,52.22701,193.34575,61.4968
2034-08-10T03:48:27Z,Sydney,-33.87,151.21,Deneb,-60.02694,56.43308,49.33801,45.40859
2011-12-25T09:50:43Z,Singapore,1.35,103.82,Denebola,-69.97681,322.76814,182.57722,14.50152
2025-11-16T13:09:39Z,South Pole,-89.9,0.0,Polaris,-89.4616,148.7921,313.18567,89.37392
2021-08-31T19:17:38Z,Southern Ocean,-55.0,-120.0,Betelgeuse,10.03846,298.76463,270.92001,7.41187
2039-08-15T08:41:10Z,Singapore,1.35,103.82,Venus,24.56174,279.91873,227.57083,9.57902
2016-11-13T00:53:28Z,North Pole,89.9,0.0,Menkent,-36.53066,34.06913,148.08671,-36.44781
2013-08-13T08:00:44Z,Singapore,1.35,103.82,Capella,-10.38752,317.3861,280.57546,46.00677
2010-09-17T22:48:44Z,Reykjavik,64.15,-21.95,Shaula,-19.61702,222.82038,96.41087,-37.11291
2005-05-02T20:08:26Z,Cape Horn,-55.9,-67.2,Avior,73.7658,115.24495,234.34938,-59.52933
2032-12-24T15:45:33Z,Florence,43.77,11.25,Sabik,-6.12965,254.01306,101.93479,-15.76033
2007-03-29T11:13:08Z,Singapore,1.35,103.82,Hamal,21.84649,294.84911,328.11004,23.49751
2021-10-26T08:47:56Z,Equator/Prime,0.0,0.0,Zubenelg.,32.41584,109.21313,136.98771,-16.12928
2025-08-10T15:29:15Z,North Pole,89.9,0.0,Hamal,23.4904,339.53612,327.84337,23.58408
2019-12-06T21:53:23Z,Cape Horn,-55.9,-67.2,Polaris,-55.65199,1.0705,315.41155,89.34889
2015-10-28T09:05:45Z,Singapore,1.35,103.82,Alioth,5.04707,326.01476,166.33235,55.87436
2002-09-03T14:04:23Z,Intl Date Line,20.0,179.9,Dubhe,-5.34443,12.71496,194.04197,61.73991
2012-07-26T08:51:14Z,South Pole,-89.9,0.0,Procyon,-5.11211,37.71704,245.01043,5.19121
2019-09-21T00:44:28Z,Equator/Prime,0.0,0.0,Peacock,13.9724,210.56817,53.20182,-56.67296
2040-11-01T12:06:58Z,Reykjavik,64.15,-21.95,Atria,-48.16507,155.05142,106.76503,-69.09884
2020-08-02T14:57:37Z,Intl Date Line,20.0,179.9,Rigil Kent,-38.74478,205.79022,139.75186,-60.92172
2039-12-18T22:26:52Z,Cape Horn,-55.9,-67.2,Capella,-33.27139,55.50255,280.08638,46.03457
2022-10-01T12:37:44Z,Florence,43.77,11.25,Bellatrix,-22.21008,303.85855,278.41287,6.37214
2024-10-29T19:05:37Z,Singapore,1.35,103.82,Alnair,-5.34278,223.05716,27.54925,-46.84362
2045-02-08T20:36:22Z,Florence,43.77,11.25,Eltanin,5.66471,6.41424,90.59001,51.479
2032-07-07T01:21:53Z,Reykjavik,64.15,-21.95,Kochab,67.30551,321.21927,137.3345,74.02851
2045-09-04T04:19:24Z,Cape Horn,-55.9,-67.2,Rasalhague,-3.28395,287.63227,95.73136,12.53155
2013-12-05T00:09:48Z,South Pole,-89.9,0.0,Jupiter,-22.02943,34.40993,249.15235,22.1114
2012-11-12T07:48:42Z,Singapore,1.35,103.82,Hamal,-25.90806,62.91367,328.01573,23.52585
2017-10-15T13:26:24Z,Intl Date Line,20.0,179.9,Altair,-13.39458,284.85031,62.08957,8.92002
2004-02-05T13:00:15Z,Singapore,1.35,103.82,Fomalhaut,-0.18521,240.3911,15.53743,-29.60467
2034-07-29T08:04:17Z,South Pole,-89.9,0.0,Acamar,40.25829,336.73256,315.10954,-40.16641
2006-12-10T05:25:59Z,Reykjavik,64.15,-21.95,Mars,-24.031,88.36437,119.22912,-20.79978
2004-10-12T01:00:40Z,South Pole,-89.9,0.0,Enif,-9.86352,290.0095,33.89506,9.89772
2018-05-03T14:43:48Z,Reykjavik,64.15,-21.95,Gienah,-30.23607,66.52387,175.81004,-17.64462
2000-07-27T22:45:49Z,Tokyo,35.6,139.7,Acamar,11.32619,197.31908,315.43446,-40.30025
2033-05-03T09:00:47Z,Sydney,-33.87,151.21,Gacrux,54.20869,143.32769,171.72802,-57.303
2034-03-22T04:36:00Z,Sydney,-33.87,151.21,Enif,7.75778,287.64873,33.5377,10.03204
2017-10-13T07:13:28Z,Tokyo,35.6,139.7,Atria,-15.45538,186.39588,107.37343,-69.05891
2035-09-10T03:53:59Z,Florence,43.77,11.25,Gacrux,-56.13431,131.60966,171.71564,-57.31163
2030-08-24T16:00:28Z,Florence,43.77,11.25,Menkent,8.9448,189.91563,147.87267,-36.5217
2030-02-05T18:41:35Z,South Pole,-89.9,0.0,Miaplacidus,69.85677,82.30919,221.60293,-69.84315
2018-10-30T19:22:21Z,Tokyo,35.6,139.7,Capella,65.33253,304.14817,280.47962,46.01234
2028-07-24T19:49:46Z,Mid-Atlantic,35.0,-40.0,Alnilam,-21.83776,284.68068,275.58495,-1.18363
2045-09-19T11:50:49Z,Singapore,1.35,103.82,Elnath,-55.39475,28.54828,277.69956,28.64222
2004-01-09T20:05:26Z,North Pole,89.9,0.0,Rigel,-8.10961,151.38424,281.31471,-8.19739
2030-11-30T06:47:22Z,Singapore,1.35,103.82,Venus,59.96666,213.75709,102.7699,-23.30327
2041-05-01T00:47:23Z,Florence,43.77,11.25,Rigel,-51.51995,332.79335,280.87592,-8.15831
2032-05-17T16:26:07Z,Southern Ocean,-55.0,-120.0,Diphda,52.1976,13.82076,348.69873,-17.80911
2033-04-18T23:10:07Z,Tokyo,35.6,139.7,Spica,-41.05073,287.63278,158.25459,-11.33549
