utc,star,sha_deg,dec_deg
2038-07-30T18:23:40Z,Hamal,327.66524,23.64077
2026-05-23T12:59:03Z,Alkaid,152.84581,49.18216
2020-07-25T02:09:29Z,Rigel,281.12614,-8.17821
2010-02-07T18:44:18Z,Canopus,263.94708,-52.70501
2006-11-08T22:13:42Z,Suhail,222.9386,-43.45435
2001-07-12T16:38:58Z,Alnilam,275.93728,-1.2008
2003-05-04T16:27:32Z,Suhail,222.97338,-43.44933
2043-04-09T06:36:05Z,Deneb,49.27837,45.42933
2040-03-28T06:41:16Z,Miaplacidus,221.58746,-69.88556
2043-07-06T15:52:56Z,Rigil Kent,139.34933,-61.01876
2011-05-20T09:46:37Z,Rasalhague,96.12444,12.55093
2032-05-29T12:04:08Z,Diphda,348.69746,-17.80834
2008-08-18T00:00:36Z,Antares,112.51109,-26.45349
2038-07-13T11:21:39Z,Procyon,244.67979,5.12413
2004-06-20T14:01:23Z,Dubhe,194.00301,61.73317
2007-11-24T08:22:05Z,Ankaa,353.32367,-42.2646
2002-09-19T03:35:23Z,Atria,107.774,-69.03691
2016-06-16T04:34:31Z,Gienah,175.83477,-17.63445
2032-09-15T20:23:22Z,Betelgeuse,270.76236,7.40978
2011-08-28T14:04:30Z,Schedar,349.69317,56.60116
2027-03-02T17:58:33Z,Denebola,182.37976,14.41633
2016-06-26T05:13:09Z,Betelgeuse,270.99091,7.40627
2018-09-22T03:52:33Z,Deneb,49.47967,45.35189
2041-03-06T03:00:30Z,Alnair,27.30844,-46.76241
2020-02-20T04:03:42Z,Sirius,258.49193,-16.74787
2033-04-05T15:56:12Z,Miaplacidus,221.59917,-69.86129
2009-03-27T20:54:20Z,Alkaid,153.0128,49.26222
2046-11-01T11:17:07Z,Hadar,148.21353,-60.59608
2038-09-27T20:40:57Z,Diphda,348.61584,-17.7747
2015-05-18T18:04:44Z,Alkaid,152.95973,49.23913
2034-05-20T00:41:29Z,Atria,106.8987,-69.08216
2034-08-19T19:43:30Z,Acrux,172.8657,-63.29245
2018-05-07T22:24:03Z,Arcturus,145.87393,19.0884
2023-11-08T02:39:33Z,Hamal,327.86732,23.57723
2009-02-04T01:20:14Z,Achernar,335.48489,-57.19424
2033-08-11T20:25:50Z,Sabik,101.91775,-15.76085
2041-08-04T05:32:10Z,Betelgeuse,270.65102,7.41383
2044-05-01T21:41:38Z,Menkent,147.66639,-36.58921
2003-01-13T13:06:46Z,Alpheratz,357.87011,29.10698
2032-05-05T07:51:33Z,Canopus,263.83683,-52.72114
2026-09-12T04:36:41Z,Acrux,172.98712,-63.24833
2040-11-27T21:12:59Z,Deneb,49.30077,45.43009
2042-01-04T04:50:31Z,Vega,80.41931,38.82282
2014-06-02T10:31:38Z,Pollux,243.45331,27.98872
2023-10-07T11:49:14Z,Procyon,244.86564,5.16654
2039-09-22T14:40:35Z,Gacrux,171.66675,-57.33248
2008-05-28T11:57:51Z,Alpheratz,357.79515,29.13426
